product_external_key,name,description,brand,material,unit,image_url,category_name
fabt-brass,FABT (Brass),"The FABT (Female Adapter Brass Thread) is a CPVC plumbing fitting designed to connect CPVC pipes with male threaded metal or plastic fittings. It features a brass female threaded insert, ensuring superior strength, durability, and leak-proof performance compared to plastic threads.",Ashirvad and Supreme,CPVC body with brass female threaded insert,"15mm (½"")",https://drive.google.com/uc?export=view&id=1jB1JaMsi9oLuTSXwxQk21MPWiYV8eyNm,Conduits & Pipes
cpvc-union,CPVC Union,"The CPVC Union is a detachable plumbing fitting used to connect two pipes while allowing easy disconnection and maintenance without cutting or damaging the pipeline. It is widely used in systems where frequent servicing is required.A CPVC Union consists of three parts: two socket ends and a central threaded nut. This design allows pipes to be joined securely and later separated conveniently. Made from high-quality CPVC, it ensures durability, corrosion resistance, and long service life in water distribution systems.",Ashirvad and Supreme,Premium CPVC,"15mm (½"")",https://drive.google.com/uc?export=view&id=1BVEdGiWp5YfBqlQAWWa6kA7uZbrWbcSs,Conduits & Pipes
ball-valve-cpvc-upvc-brass,Ball Valve (CPVC / UPVC / Brass),"The Ball Valve is a quarter-turn valve used to control the flow of water or fluids in a pipeline. It operates using a rotating ball with a hole (bore) inside—when aligned with the pipe, flow is allowed; when turned 90°, flow is stopped.A Ball Valve is designed for quick shut-off and reliable flow control in plumbing systems. It is available in CPVC, UPVC, or Brass, depending on application needs. The valve provides smooth operation with minimal pressure drop and long service life.",Ashirvad and Supreme,CPVC,"20mm (¾"")",https://drive.google.com/uc?export=view&id=1vmaf9jMKGWkEsibudPDepyknWOrDwFyG,Conduits & Pipes
reducer-tee,Reducer Tee,"The Reducer Tee (Reducing Tee) is a CPVC plumbing fitting used to connect three pipes where the branch outlet is of a smaller size than the main line. It allows smooth flow distribution while reducing pipe diameter at the branch.The Reducer Tee is made from high-quality CPVC material, designed for durability and efficient flow management. It features two equal-sized ends (main line) and a smaller branch outlet, making it ideal for reducing flow to a secondary line without affecting the main pipeline.",Ashirvad and Supreme,Premium CPVC,"25mm × 20mm × 25mm (1"" × ¾"" × 1"")",https://drive.google.com/uc?export=view&id=1EvxB2BdQmgYlA_f74uKtdxvzwPjkVorv,Conduits & Pipes
mabt-brass,MABT (Brass),"The MABT (Male Adapter Brass Thread) is a CPVC plumbing fitting designed to connect CPVC pipes to threaded components using a male brass insert. It ensures a strong, durable, and leak-proof joint, especially where plastic-to-metal connections are required. This fitting has a CPVC socket on one end (for solvent welding) and a male brass threaded end on the other, making it ideal for secure connections with valves, taps, and metal fittings.",Ashirvad and Supreme,CPVC,"15mm (½"")",https://drive.google.com/uc?export=view&id=12WzlZQjKP2-hYAF1KYppUZBALP8sTmMr,Conduits & Pipes
tank-nipple,Tank Nipple,"The Tank Nipple is a short-length threaded pipe fitting used to connect water tanks to pipelines, valves, or other plumbing components. It ensures a secure and leak-proof passage through tank walls.A Tank Nipple is designed with external (male) threads on both ends, allowing it to pass through a tank wall and connect fittings on either side. It is commonly made from CPVC or brass, providing strength, corrosion resistance, and durability in water systems.",Ashirvad and Supreme,CPVC,"20mm (¾"")",https://drive.google.com/uc?export=view&id=1oRrXv7NnXk5Npu9-NiBxwneSnwZJhZq3,Conduits & Pipes
powder-coated-metal-clamp,Powder Coated Metal Clamp,"The Powder Coated Metal Clamp is a sturdy and durable pipe support accessory designed to securely hold and fix pipes to walls, ceilings, or other surfaces. It is made from high-quality metal and finished with a powder coating, which provides excellent resistance against corrosion, rust, and wear.This clamp ensures proper alignment and support of pipelines, reducing vibration and extending the life of the piping system.",Ashirvad and Supreme,High-strength metal (steel/iron),"15mm (½"")",https://drive.google.com/uc?export=view&id=1vVbQx3ruScc2s-1_DYQAwStwAOChkJRc,Conduits & Pipes
cpvc-clamp,CPVC Clamp,"The CPVC Clamp is a support fitting used to secure and hold CPVC pipes firmly in place along walls or ceilings. It helps maintain proper alignment and prevents pipe movement, vibration, and sagging in plumbing systems.The CPVC Pipe Clamp is made from high-quality CPVC material, designed to provide strong and durable support for pipelines. It is easy to install and ensures stability in both horizontal and vertical piping layouts.",Ashirvad and Supreme,Premium CPVC plastic,"15mm (½"")",https://drive.google.com/uc?export=view&id=1lJSCM_DbMxKd8VfSyu773IzELc4-hWLg,Conduits & Pipes
cpvc-solvent-cement,CPVC Solvent Cement,"CPVC Solvent Cement is a specially formulated adhesive used to join CPVC pipes and fittings by chemically fusing them together. It softens the surface of the CPVC material and creates a permanent, leak-proof bond once cured.This cement is essential for plumbing systems handling hot and cold water, ensuring strong, durable, and pressure-resistant joints.",Ashirvad and Supreme,CPVC,15 ml,https://drive.google.com/uc?export=view&id=1OTNDaZq-wO2Y_j4gdMufaS7xczn6Ex3b,Conduits & Pipes
rf-reducing-door-tee-cpvc,RF – Reducing Door Tee (CPVC),"The RF (Reducing Door Tee) is a specialized CPVC plumbing fitting designed to connect three pipelines where one branch is of a reduced size. It also features a clean-out / access door (plug opening) that allows easy inspection, cleaning, and maintenance of the pipeline.The Reducing Door Tee combines the function of a reducing tee and a clean-out access fitting. It enables smooth flow distribution between different pipe sizes while providing a removable door/cap for clearing blockages or debris without dismantling the pipeline.",Ashirvad and Supreme,CPVC,110mm x 75mm (4''x2½''),https://drive.google.com/uc?export=view&id=1WcXzWKIpVp5Rus3f4GYDmbotH0Nyqp-V,Conduits & Pipes
rf-plain-door-bend,RF – Plain Door Bend,"An RF (Return Flange) Plain Door Bend is a sheet metal HVAC duct fitting designed to smoothly redirect airflow around a 90° angle while maintaining structural strength. It is commonly used in air duct systems where a clean, sharp turn is required near access doors or panel sections. The return flange (RF) edges allow easy connection to adjoining duct sections using standard flanging systems.",,CPVC,75mm (2½''),https://drive.google.com/uc?export=view&id=1bQfeG9hoG3GwPplcORQxXphsrOCvcD3m,Conduits & Pipes
rf-door-y,RF Door Y,"The RF Door Y (Reducing Female Door Y) is a specialized CPVC plumbing fitting designed for three-way pipe connections with a clean-out/inspection door, allowing easy access for maintenance and blockage removal while also reducing pipe size.The RF Door Y fitting combines a Y-shaped flow design with a female threaded door (cap) for inspection and cleaning. It ensures smooth water flow with minimal pressure loss while providing convenient access for servicing pipelines. The reducing feature allows connection between different pipe sizes.",Ashirvad and Supreme,CPVC,75mm (2½''),https://drive.google.com/uc?export=view&id=1jjInO51oen5wfXefX8ir0RnuB8tGzEbz,Conduits & Pipes
rf-cleaning-pipe,RF Cleaning Pipe,"The RF Cleaning Pipe (Red/Regular Flow Cleaning Pipe) is a specially designed CPVC pipe used in plumbing systems for cleaning, flushing, and maintenance access. It is commonly installed in pipelines to allow easy removal of blockages and ensure smooth water flow.The RF Cleaning Pipe is manufactured from high-quality CPVC material, providing excellent resistance to corrosion, chemicals, and high temperatures. It is typically used along with cleaning fittings (like clean-out plugs or caps) to enable inspection and cleaning of pipelines without dismantling the system.",Ashirvad and Supreme,CPVC,75mm (2½''),https://drive.google.com/uc?export=view&id=1OJs2a1KCOd8IjpiciKDeidS48Ug4ePkH,Conduits & Pipes
